Last Name,First Name,Gender,Born,ID,Club,Bib
Anders,Cole,M,2010,9900001,Harness Springs Winter Sports,
Atherly,Chase,M,2009,9900002,Team Harness Colorado,
Balloon,Asher,M,2011,9900003,Harness Park Freestyle Team,
Brownlee,Abe,M,2011,9900004,Harness Springs Winter Sports,
Crumble,Owen,M,2008,9900005,Harness Park Competition Center,
Dorsey,Liam,M,2012,9900006,Aspen Harness Ski Club,
Eckhart,Noah,M,2007,9900007,Team Harness Colorado,
Fenwick,Mason,M,2010,9900008,Ski and Snowboard Club Harness,
Agee-Test,Arabella,F,2009,9900101,Ski and Snowboard Club Harness,
Bellamy,Quinn,F,2011,9900102,Harness Springs Winter Sports,
Carrick,Mia,F,2010,9900103,Aspen Harness Ski Club,
Dunmore,Alivia,F,2012,9900104,Harness Park Freestyle Team,
Estrella,Lenna,F,2008,9900105,Team Harness Colorado,
Fairweather,Sloane,F,2009,9900106,Harness Park Competition Center,
