Last Name,First Name,Gender,Born,ID,Club,Bib,Events,FIS
Anders,Cole,M,2010,9900001,Harness Springs Winter Sports,100,MD,2540001
Atherly,Chase,M,2009,9900002,Team Harness Colorado,101,MM2,
Balloon,Asher,M,2011,9900003,Harness Park Freestyle Team,102,MDM2,
Brownlee,Abe,M,2011,9900004,Harness Springs Winter Sports,103,M,
Crumble,Owen,M,2008,9900005,Harness Park Competition Center,104,D,
Dorsey,Liam,M,2012,9900006,Aspen Harness Ski Club,105,DM,
Eckhart,Noah,M,2007,9900007,Team Harness Colorado,106,MD,
Fenwick,Mason,M,2010,9900008,Ski and Snowboard Club Harness,107,MM2,
Agee-Test,Arabella,F,2009,9900101,Ski and Snowboard Club Harness,108,MDM2,
Bellamy,Quinn,F,2011,9900102,Harness Springs Winter Sports,109,M,
Carrick,Mia,F,2010,9900103,Aspen Harness Ski Club,110,D,
Dunmore,Alivia,F,2012,9900104,Harness Park Freestyle Team,111,DM,
Estrella,Lenna,F,2008,9900105,Team Harness Colorado,112,MD,
Fairweather,Sloane,F,2009,9900106,Harness Park Competition Center,113,MM2,
Dupe,Easton,M,2010,9900005,Harness Springs Winter Sports,300,M,
