Last Name,First Name,Gender,Born,ID,Club,Bib,M,M2,D
Anders,Cole,M,2010,9900001,Harness Springs Winter Sports,100,X,,
Atherly,Chase,M,2009,9900002,Team Harness Colorado,101,X,X,X
Balloon,Asher,M,2011,9900003,Harness Park Freestyle Team,102,X,,X
Brownlee,Abe,M,2011,9900004,Harness Springs Winter Sports,103,X,X,
Crumble,Owen,M,2008,9900005,Harness Park Competition Center,104,X,,X
Dorsey,Liam,M,2012,9900006,Aspen Harness Ski Club,105,X,X,X
Eckhart,Noah,M,2007,9900007,Team Harness Colorado,106,X,,
Fenwick,Mason,M,2010,9900008,Ski and Snowboard Club Harness,107,X,X,X
Agee-Test,Arabella,F,2009,9900101,Ski and Snowboard Club Harness,108,X,,X
Bellamy,Quinn,F,2011,9900102,Harness Springs Winter Sports,109,X,X,
Carrick,Mia,F,2010,9900103,Aspen Harness Ski Club,110,X,,X
Dunmore,Alivia,F,2012,9900104,Harness Park Freestyle Team,111,X,X,X
Estrella,Lenna,F,2008,9900105,Team Harness Colorado,112,X,,
Fairweather,Sloane,F,2009,9900106,Harness Park Competition Center,113,X,X,X
