Bib,Category Entered / Merchandise Ordered,City,First Name,Last Name,Notes,Fundraising Pageviews,Custom Tax,Gender,State,Team
100,Saturday Men's Moguls (Feb 21),Harness City,Cole,Anders,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
,Sunday Men's Moguls (Feb 22) *** FULL ***,Harness City,Cole,Anders,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
,Sunday Mens Dual Moguls (Feb 22),Harness City,Cole,Anders,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
101,Saturday Men's Moguls (Feb 21),Harness City,Chase,Atherly,,0.0000,0.0000,M,CO,Team Harness Colorado
,Sunday Men's Moguls (Feb 22) *** FULL ***,Harness City,Chase,Atherly,,0.0000,0.0000,M,CO,Team Harness Colorado
,Sunday Mens Dual Moguls (Feb 22),Harness City,Chase,Atherly,,0.0000,0.0000,M,CO,Team Harness Colorado
102,Saturday Men's Moguls (Feb 21),Harness City,Asher,Balloon,,0.0000,0.0000,M,CO,Harness Park Freestyle Team
,Sunday Men's Moguls (Feb 22) *** FULL ***,Harness City,Asher,Balloon,,0.0000,0.0000,M,CO,Harness Park Freestyle Team
,Sunday Mens Dual Moguls (Feb 22),Harness City,Asher,Balloon,,0.0000,0.0000,M,CO,Harness Park Freestyle Team
103,Saturday Men's Moguls (Feb 21),Harness City,Abe,Brownlee,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
,Sunday Men's Moguls (Feb 22) *** FULL ***,Harness City,Abe,Brownlee,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
,Sunday Mens Dual Moguls (Feb 22),Harness City,Abe,Brownlee,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
104,Saturday Men's Moguls (Feb 21),Harness City,Owen,Crumble,,0.0000,0.0000,M,CO,Harness Park Competition Center
,Sunday Men's Moguls (Feb 22) *** FULL ***,Harness City,Owen,Crumble,,0.0000,0.0000,M,CO,Harness Park Competition Center
,Sunday Mens Dual Moguls (Feb 22),Harness City,Owen,Crumble,,0.0000,0.0000,M,CO,Harness Park Competition Center
105,Saturday Men's Moguls (Feb 21),Harness City,Liam,Dorsey,,0.0000,0.0000,M,CO,Aspen Harness Ski Club
,Sunday Men's Moguls (Feb 22) *** FULL ***,Harness City,Liam,Dorsey,,0.0000,0.0000,M,CO,Aspen Harness Ski Club
106,Saturday Men's Moguls (Feb 21),Harness City,Noah,Eckhart,,0.0000,0.0000,M,CO,Team Harness Colorado
107,Saturday Men's Moguls (Feb 21),Harness City,Mason,Fenwick,,0.0000,0.0000,M,CO,Ski and Snowboard Club Harness
200,Saturday Women's Moguls (Feb 21),Harness City,Arabella,Agee-Test,,0.0000,0.0000,F,CO,Ski and Snowboard Club Harness
,Sunday Women's Moguls (Feb 22) *** FULL **I,Harness City,Arabella,Agee-Test,,0.0000,0.0000,F,CO,Ski and Snowboard Club Harness
,Sunday Women's Dual Moguls (Feb 22),Harness City,Arabella,Agee-Test,,0.0000,0.0000,F,CO,Ski and Snowboard Club Harness
201,Saturday Women's Moguls (Feb 21),Harness City,Quinn,Bellamy,,0.0000,0.0000,F,CO,Harness Springs Winter Sports
,Sunday Women's Moguls (Feb 22) *** FULL **I,Harness City,Quinn,Bellamy,,0.0000,0.0000,F,CO,Harness Springs Winter Sports
,Sunday Women's Dual Moguls (Feb 22),Harness City,Quinn,Bellamy,,0.0000,0.0000,F,CO,Harness Springs Winter Sports
202,Saturday Women's Moguls (Feb 21),Harness City,Mia,Carrick,,0.0000,0.0000,F,CO,Aspen Harness Ski Club
,Sunday Women's Moguls (Feb 22) *** FULL **I,Harness City,Mia,Carrick,,0.0000,0.0000,F,CO,Aspen Harness Ski Club
,Sunday Women's Dual Moguls (Feb 22),Harness City,Mia,Carrick,,0.0000,0.0000,F,CO,Aspen Harness Ski Club
203,Saturday Women's Moguls (Feb 21),Harness City,Alivia,Dunmore,,0.0000,0.0000,F,CO,Harness Park Freestyle Team
,Sunday Women's Moguls (Feb 22) *** FULL **I,Harness City,Alivia,Dunmore,,0.0000,0.0000,F,CO,Harness Park Freestyle Team
204,Saturday Women's Moguls (Feb 21),Harness City,Lenna,Estrella,,0.0000,0.0000,F,CO,Team Harness Colorado
205,Saturday Women's Moguls (Feb 21),Harness City,Sloane,Fairweather,,0.0000,0.0000,F,CO,Harness Park Competition Center
,Banquet Tickets,Harness City,Pat,Parent,,0.0000,0.0000,F,CO,
,Coaches / Officials / Judges,Harness City,Chris,Coachman,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
199,Saturday Men's Moguls (Feb 21),Harness City,Fletcher,Nowhere,,0.0000,0.0000,M,CO,Harness Park Freestyle Team
150,Saturday Men's Moguls (Feb 21),Harness City,Jordan,SameName,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
151,Saturday Men's Moguls (Feb 21),Harness City,Taylor,Sameclub,,0.0000,0.0000,M,CO,Harness Springs Winter Sports
